Unnamed: 0,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
1589551,1751470,HJR46,HJR46,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Marine Fisheries Service relating to ""Endangered and Threatened Wildlife and Plants; Regulations for Listing Endangered and Threatened Species and Designating Critical Habitat"".","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Marine Fisheries Service relating to ""Endangered and Threatened Wildlife and Plants; Regulations for Listing Endangered and Threatened Species and Designating Critical Habitat"".",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR46.json,1,2023-03-30,https://www.congress.gov/118/bills/hjres46/BILLS-118hjres46rh.pdf
1589552,1751468,HJR47,HJR47,Proposing an amendment to the Constitution of the United States to repeal the sixteenth article of amendment.,Proposing an amendment to the Constitution of the United States to repeal the sixteenth article of amendment.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR47.json,1,2023-03-30,https://www.congress.gov/118/bills/hjres47/BILLS-118hjres47ih.pdf
1589553,1751490,HJR48,HJR48,Proposing an amendment to the Constitution of the United States providing that the rights extended by the Constitution are the rights of natural persons only.,Proposing an amendment to the Constitution of the United States providing that the rights extended by the Constitution are the rights of natural persons only.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR48.json,1,2023-03-30,https://www.congress.gov/118/bills/hjres48/BILLS-118hjres48ih.pdf
1589554,1751493,HJR49,HJR49,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the United States Fish and Wildlife Service relating to ""Endangered and Threatened Wildlife and Plants; Endangered Species Status for Northern Long-Eared Bat"".","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the United States Fish and Wildlife Service relating to ""Endangered and Threatened Wildlife and Plants; Endangered Species Status for Northern Long-Eared Bat"".",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR49.json,1,2023-03-30,https://www.congress.gov/118/bills/hjres49/BILLS-118hjres49rh.pdf
1589555,1650758,HJR5,HJR5,Proposing an amendment to the Constitution of the United States to limit the number of terms an individual may serve as a Member of Congress.,Proposing an amendment to the Constitution of the United States to limit the number of terms an individual may serve as a Member of Congress.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR5.json,1,2023-01-09,https://www.congress.gov/118/bills/hjres5/BILLS-118hjres5ih.pdf
1589556,1752861,HJR50,HJR50,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to ""Small Business Lending Under the Equal Credit Opportunity Act (Regulation B)"".","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to ""Small Business Lending Under the Equal Credit Opportunity Act (Regulation B)"".",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR50.json,1,2023-04-03,https://www.congress.gov/118/bills/hjres50/BILLS-118hjres50ih.pdf
1589557,1754085,HJR51,HJR51,Proposing an amendment to the Constitution of the United States to limit the number of consecutive terms that a Member of Congress may serve.,Proposing an amendment to the Constitution of the United States to limit the number of consecutive terms that a Member of Congress may serve.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR51.json,1,2023-04-06,https://www.congress.gov/118/bills/hjres51/BILLS-118hjres51ih.pdf
1589558,1754083,HJR52,HJR52,Authorization for Use of Military Force Resolution of 2023,To repeal and replace the Authorization for Use of Military Force.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR52.json,1,2023-04-06,https://www.congress.gov/118/bills/hjres52/BILLS-118hjres52ih.pdf
1589559,1754096,HJR53,HJR53,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Control of Air Pollution From New Motor Vehicles: Heavy-Duty Engine and Vehicle Standards"".","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Control of Air Pollution From New Motor Vehicles: Heavy-Duty Engine and Vehicle Standards"".",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR53.json,1,2023-04-06,https://www.congress.gov/118/bills/hjres53/BILLS-118hjres53ih.pdf
1589560,1754483,HJR54,HJR54,Proposing an amendment to the Constitution of the United States providing that the rights protected and extended by the Constitution are the rights of natural persons only.,Proposing an amendment to the Constitution of the United States providing that the rights protected and extended by the Constitution are the rights of natural persons only.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR54.json,1,2023-04-10,https://www.congress.gov/118/bills/hjres54/BILLS-118hjres54ih.pdf
